nom_librairie,adresse,code_postal,ville,contact_nom,contact_email,contact_telephone,ca_annuel,date_partenariat,specialite
Librairie du Marais,15 rue des Francs-Bourgeois,75004,Paris,ANONYME,anonyme0@exemple.com,,385000,2021-03-15,Litterature
Le Livre Qui Parle,8 place Bellecour,69002,Lyon,ANONYME,anonyme1@exemple.com,,290000,2020-06-22,Jeunesse
Aux Pages d Or,42 rue Sainte-Catherine,33000,Bordeaux,ANONYME,anonyme2@exemple.com,,175000,2022-01-10,BD-Manga
La Bouquinerie Nantaise,3 rue Crebillon,44000,Nantes,ANONYME,anonyme3@exemple.com,,220000,2019-09-01,Occasions
Librairie Occitane,25 rue du Taur,31000,Toulouse,ANONYME,anonyme4@exemple.com,,310000,2020-11-30,Regionalisme
Le Comptoir des Lettres,7 rue de la Loge,34000,Montpellier,ANONYME,anonyme5@exemple.com,,195000,2021-07-18,Litterature
Librairie Maritime,18 quai de la Fosse,44000,Nantes,ANONYME,anonyme6@exemple.com,,145000,2022-04-05,Voyage
La Plume et l Encre,5 rue des Carmes,45000,Orleans,ANONYME,anonyme7@exemple.com,,165000,2020-02-14,Papeterie
Librairie Saint-Michel,33 boulevard Saint-Michel,75005,Paris,ANONYME,anonyme8@exemple.com,,520000,2018-10-01,Universitaire
Le Furet du Nord,15 place du General de Gaulle,59000,Lille,ANONYME,anonyme9@exemple.com,,890000,2017-05-20,Generaliste
Librairie Mollat,15 rue Vital Carles,33000,Bordeaux,ANONYME,anonyme10@exemple.com,,1250000,2016-01-15,Generaliste
La Procure,3 rue de Mezieres,75006,Paris,ANONYME,anonyme11@exemple.com,,680000,2019-03-22,Religion
Librairie Decitre,29 place Bellecour,69002,Lyon,ANONYME,anonyme12@exemple.com,,750000,2018-08-10,Generaliste
Le Divan,203 rue de la Convention,75015,Paris,ANONYME,anonyme13@exemple.com,,420000,2020-12-01,Litterature
Librairie Kleber,1 rue des Francs-Bourgeois,67000,Strasbourg,ANONYME,anonyme14@exemple.com,,580000,2019-06-15,Generaliste
La Machine a Lire,8 place du Parlement,33000,Bordeaux,ANONYME,anonyme15@exemple.com,,295000,2021-02-28,Litterature
Librairie Dialogues,Forum des Halles,29200,Brest,ANONYME,anonyme16@exemple.com,,410000,2018-04-12,Generaliste
Sauramps,Le Triangle,34000,Montpellier,ANONYME,anonyme17@exemple.com,,620000,2017-09-30,Generaliste
Librairie Coiffard,8 rue de la Fosse,44000,Nantes,ANONYME,anonyme18@exemple.com,,340000,2020-05-18,Generaliste
La Librairie des Abbesses,30 rue Yvonne Le Tac,75018,Paris,ANONYME,anonyme19@exemple.com,,275000,2021-11-08,Litterature
